BrandKey,BrandName,BrandHQCountry
1,Amazfit,China
2,Amazon,United States
3,Anker,China
4,Apple,United States
5,Arlo,United States
6,Aukey,China
7,Baseus,China
8,Belkin,United States
9,Blink,United States
10,Bose,United States
11,CMF by Nothing,United Kingdom
12,Eve,Germany
13,Fitbit,United States
14,Garmin,United States
15,Google Nest,United States
16,Govee,China
17,Honor,China
18,Huawei,China
19,INIU,China
20,JBL,United States
21,Jabra,Denmark
22,LIFX,Australia
23,Meross,China
24,Mophie,United States
25,Nanoleaf,Canada
26,Philips Hue,Netherlands
27,Polk Audio,United States
28,Ring,United States
29,Samsung,South Korea
30,Sonos,United States
31,Sony,Japan
32,Spigen,South Korea
33,TP-Link,China
34,Ugreen,China
35,Ultimate Ears,United States
36,Vizio,United States
37,Whoop,United States
38,WiZ,Netherlands
39,Wyze,United States
40,Xiaomi,China
