ReturnId,ReturnDateKey,SalesOrderLineId,OrderId,SKU,MarketId,CustomerId,ReasonKey,QtyReturned,RefundAmountUSD
RMA-000001,20240721,35,SO-0001655,SKU-0001,M01,C001,3,1,234.76
RMA-000002,20241231,185,SO-0008540,SKU-0001,M01,C003,1,1,238.49
RMA-000003,20250113,191,SO-0008808,SKU-0001,M01,C002,2,1,231.65
RMA-000004,20250111,208,SO-0009569,SKU-0001,M01,C001,3,1,223.22
RMA-000005,20250409,272,SO-0012603,SKU-0001,M01,C002,5,1,240.21
RMA-000006,20250323,279,SO-0012917,SKU-0001,M01,C005,4,1,226.01
RMA-000007,20250423,287,SO-0013275,SKU-0001,M01,C005,3,1,215.75
RMA-000008,20250412,295,SO-0013629,SKU-0001,M01,C002,3,1,242.92
RMA-000009,20250526,334,SO-0015466,SKU-0001,M01,C006,3,1,187.33
RMA-000010,20250822,414,SO-0019078,SKU-0001,M01,C002,1,1,231.63
RMA-000011,20250906,432,SO-0019887,SKU-0001,M01,C002,5,1,241.21
RMA-000012,20251019,480,SO-0022039,SKU-0001,M01,C003,3,1,236.02
RMA-000013,20251110,484,SO-0022221,SKU-0001,M01,C006,1,2,374.22
RMA-000014,20260119,567,SO-0026030,SKU-0001,M01,C001,3,2,469.44
RMA-000015,20260217,588,SO-0027021,SKU-0001,M01,C006,4,2,371.22
RMA-000016,20260209,595,SO-0027333,SKU-0001,M01,C005,4,2,430.14
RMA-000017,20260604,704,SO-0032538,SKU-0001,M01,C001,5,1,239.94
RMA-000018,20240626,714,SO-0000410,SKU-0001,M02,C008,4,1,240.22
RMA-000019,20240915,796,SO-0004482,SKU-0001,M02,C011,4,1,190.7
RMA-000020,20240929,800,SO-0004659,SKU-0001,M02,C010,2,2,454.62
RMA-000021,20241104,835,SO-0006214,SKU-0001,M02,C008,3,2,481.46
RMA-000022,20241225,874,SO-0008006,SKU-0001,M02,C007,4,1,238.31
RMA-000023,20241220,880,SO-0008276,SKU-0001,M02,C009,3,1,229.61
RMA-000024,20250202,927,SO-0010427,SKU-0001,M02,C007,2,1,242.27
RMA-000025,20250312,970,SO-0012432,SKU-0001,M02,C008,1,2,464.6
RMA-000026,20250825,1127,SO-0019848,SKU-0001,M02,C008,3,2,477.68
RMA-000027,20251020,1171,SO-0021908,SKU-0001,M02,C007,4,2,469.86
RMA-000028,20251206,1211,SO-0023796,SKU-0001,M02,C011,3,2,381.82
RMA-000029,20251206,1223,SO-0024331,SKU-0001,M02,C007,3,1,229.23
RMA-000030,20260124,1261,SO-0026036,SKU-0001,M02,C007,4,1,239.13
RMA-000031,20260119,1263,SO-0026164,SKU-0001,M02,C045,4,1,182.28
RMA-000032,20260422,1335,SO-0029647,SKU-0001,M02,C007,4,2,461.22
RMA-000033,20260504,1360,SO-0030851,SKU-0001,M02,C008,4,1,232.82
RMA-000034,20260611,1387,SO-0032051,SKU-0001,M02,C007,4,1,236.1
RMA-000035,20240904,1442,SO-0003055,SKU-0001,M03,C014,2,1,240.94
RMA-000036,20240829,1454,SO-0003726,SKU-0001,M03,C015,4,1,235.47
RMA-000037,20241030,1502,SO-0006263,SKU-0001,M03,C012,2,2,441.7
RMA-000038,20241119,1522,SO-0007429,SKU-0001,M03,C012,1,2,431.02
RMA-000039,20250223,1591,SO-0010882,SKU-0001,M03,C015,4,1,240.99
RMA-000040,20250317,1617,SO-0012483,SKU-0001,M03,C014,5,1,230.85
RMA-000041,20250328,1629,SO-0013105,SKU-0001,M03,C014,3,1,234.0
RMA-000042,20250505,1656,SO-0014404,SKU-0001,M03,C016,4,2,373.86
RMA-000043,20250622,1695,SO-0016767,SKU-0001,M03,C012,2,1,220.74
RMA-000044,20250903,1746,SO-0019448,SKU-0001,M03,C013,4,2,464.64
RMA-000045,20251111,1796,SO-0022273,SKU-0001,M03,C013,3,1,242.43
RMA-000046,20251122,1820,SO-0023482,SKU-0001,M03,C012,2,1,221.83
RMA-000047,20251124,1828,SO-0023845,SKU-0001,M03,C015,1,2,468.1
RMA-000048,20251218,1830,SO-0023933,SKU-0001,M03,C014,3,1,233.06
RMA-000049,20251220,1856,SO-0025149,SKU-0001,M03,C016,4,2,376.38
RMA-000050,20260606,1982,SO-0032506,SKU-0001,M03,C014,3,1,237.41
RMA-000051,20240917,2062,SO-0003593,SKU-0001,M04,C017,4,2,486.88
RMA-000052,20241126,2137,SO-0007032,SKU-0001,M04,C020,4,2,448.74
RMA-000053,20241230,2183,SO-0009092,SKU-0001,M04,C018,4,2,483.76
RMA-000054,20250105,2192,SO-0009499,SKU-0001,M04,C021,2,2,433.08
RMA-000055,20250501,2290,SO-0014139,SKU-0001,M04,C019,4,1,226.56
RMA-000056,20250622,2339,SO-0016414,SKU-0001,M04,C017,4,1,240.0
RMA-000057,20250724,2375,SO-0018253,SKU-0001,M04,C021,1,1,222.74
RMA-000058,20250821,2394,SO-0019185,SKU-0001,M04,C019,5,2,445.2
RMA-000059,20250915,2430,SO-0020800,SKU-0001,M04,C022,1,1,189.01
RMA-000060,20251125,2489,SO-0023670,SKU-0001,M04,C020,1,2,448.68
RMA-000061,20251206,2506,SO-0024436,SKU-0001,M04,C022,2,1,187.97
RMA-000062,20260601,2643,SO-0031391,SKU-0001,M04,C017,2,2,480.62
RMA-000063,20260606,2652,SO-0031798,SKU-0001,M04,C022,3,2,381.34
RMA-000064,20250121,2864,SO-0009997,SKU-0001,M05,C024,2,1,233.83
RMA-000065,20250123,2868,SO-0010265,SKU-0001,M05,C024,4,1,231.39
RMA-000066,20250124,2869,SO-0010399,SKU-0001,M05,C023,4,1,229.91
RMA-000067,20250201,2871,SO-0010487,SKU-0001,M05,C023,1,1,234.29
RMA-000068,20250526,2945,SO-0014729,SKU-0001,M05,C027,3,2,378.8
RMA-000069,20250826,3029,SO-0019144,SKU-0001,M05,C023,3,1,234.19
RMA-000070,20250930,3051,SO-0020447,SKU-0001,M05,C027,5,2,357.2
RMA-000071,20250925,3052,SO-0020492,SKU-0001,M05,C027,1,2,364.04
RMA-000072,20251029,3091,SO-0022509,SKU-0001,M05,C024,4,2,466.3
RMA-000073,20251212,3133,SO-0024483,SKU-0001,M05,C024,3,1,229.46
RMA-000074,20260111,3151,SO-0025383,SKU-0001,M05,C026,3,1,234.87
RMA-000075,20260223,3187,SO-0027353,SKU-0001,M05,C025,2,1,234.6
RMA-000076,20260518,3264,SO-0031711,SKU-0001,M05,C023,4,2,484.48
RMA-000077,20260529,3267,SO-0031937,SKU-0001,M05,C027,1,1,189.1
RMA-000078,20240701,3294,SO-0000791,SKU-0001,M06,C031,5,1,228.18
RMA-000079,20240910,3352,SO-0003695,SKU-0001,M06,C029,4,2,485.1
RMA-000080,20250201,3486,SO-0009911,SKU-0001,M06,C028,3,1,233.02
RMA-000081,20250204,3494,SO-0010404,SKU-0001,M06,C028,2,1,235.64
RMA-000082,20250426,3556,SO-0013614,SKU-0001,M06,C032,3,1,214.82
RMA-000083,20250630,3625,SO-0017234,SKU-0001,M06,C033,4,1,187.0
RMA-000084,20250803,3645,SO-0018131,SKU-0001,M06,C033,2,1,186.11
RMA-000085,20250828,3670,SO-0019328,SKU-0001,M06,C028,4,2,485.24
RMA-000086,20250821,3675,SO-0019644,SKU-0001,M06,C029,1,1,239.05
RMA-000087,20251022,3712,SO-0021438,SKU-0001,M06,C032,2,2,451.72
RMA-000088,20251116,3748,SO-0023184,SKU-0001,M06,C028,1,1,232.62
RMA-000089,20251220,3768,SO-0024083,SKU-0001,M06,C029,2,1,235.12
RMA-000090,20260129,3819,SO-0026594,SKU-0001,M06,C028,1,1,239.51
RMA-000091,20260310,3838,SO-0027671,SKU-0001,M06,C032,2,2,459.32
RMA-000092,20260416,3882,SO-0030072,SKU-0001,M06,C032,3,1,215.56
RMA-000093,20260420,3889,SO-0030381,SKU-0001,M06,C029,3,1,239.46
RMA-000094,20260520,3903,SO-0031055,SKU-0001,M06,C033,4,1,183.93
RMA-000095,20260520,3909,SO-0031358,SKU-0001,M06,C029,5,2,479.8
RMA-000096,20260613,3919,SO-0031850,SKU-0001,M06,C029,5,2,475.52
RMA-000097,20240923,4015,SO-0004151,SKU-0001,M07,C038,3,1,183.65
RMA-000098,20241124,4066,SO-0006553,SKU-0001,M07,C034,3,2,467.0
RMA-000099,20250304,4170,SO-0011436,SKU-0001,M07,C036,2,2,477.04
RMA-000100,20250311,4182,SO-0012060,SKU-0001,M07,C037,3,2,431.82
RMA-000101,20250624,4266,SO-0016077,SKU-0001,M07,C037,2,1,231.86
RMA-000102,20250916,4352,SO-0020233,SKU-0001,M07,C037,2,1,229.15
RMA-000103,20250920,4361,SO-0020682,SKU-0001,M07,C038,4,1,190.17
RMA-000104,20251112,4398,SO-0022477,SKU-0001,M07,C037,2,1,222.76
RMA-000105,20251205,4432,SO-0024047,SKU-0001,M07,C038,4,2,370.7
RMA-000106,20251210,4437,SO-0024268,SKU-0001,M07,C034,3,2,468.34
RMA-000107,20260106,4462,SO-0025437,SKU-0001,M07,C035,4,2,464.6
RMA-000108,20260203,4480,SO-0026380,SKU-0001,M07,C038,2,2,383.92
RMA-000109,20260304,4504,SO-0027450,SKU-0001,M07,C034,2,1,235.79
RMA-000110,20260520,4579,SO-0031101,SKU-0001,M07,C035,2,2,477.74
RMA-000111,20260508,4581,SO-0031191,SKU-0001,M07,C036,4,1,235.11
RMA-000112,20260613,4601,SO-0032123,SKU-0001,M07,C035,3,2,472.06
RMA-000113,20240705,4617,SO-0000265,SKU-0001,M08,C041,2,2,476.76
RMA-000114,20240702,4623,SO-0000579,SKU-0001,M08,C043,1,2,435.44
RMA-000115,20240816,4655,SO-0002097,SKU-0001,M08,C039,3,1,231.05
RMA-000116,20240928,4690,SO-0004019,SKU-0001,M08,C040,4,1,237.76
RMA-000117,20240909,4695,SO-0004289,SKU-0001,M08,C042,4,1,242.84
RMA-000118,20250108,4779,SO-0008623,SKU-0001,M08,C041,4,1,238.46
RMA-000119,20250124,4801,SO-0009610,SKU-0001,M08,C042,2,1,233.22
RMA-000120,20250401,4863,SO-0013041,SKU-0001,M08,C040,3,1,236.82
RMA-000121,20250729,4958,SO-0018453,SKU-0001,M08,C042,4,2,469.48
RMA-000122,20250828,4975,SO-0019339,SKU-0001,M08,C039,5,1,234.07
RMA-000123,20250928,5006,SO-0021092,SKU-0001,M08,C044,1,2,367.78
RMA-000124,20260102,5080,SO-0024904,SKU-0001,M08,C040,1,2,482.48
RMA-000125,20240816,5229,SO-0002421,SKU-0002,M01,C005,1,1,118.99
