SALE_ID,SALE_DATE,STORE_CODE,PROD_DESC,QTY,UNIT_PRICE,TOTAL_AMT
LSS0000001,03/01/2026,LS04,LAKESIDE PRO SHOP TOWELS 12PK,3,39.48,118.44
LSS0000002,06/04/2026,LS03,ATLAS HYDRAULIC CHECK VALVE 24V DC,3,155.44,466.31
LSS0000003,26/11/2025,LS01,ATLAS HYDRAULIC CHECK VALVE 24V DC,4,155.91,623.65
LSS0000004,19/01/2026,LS04,ATLAS SHAFT SEAL 35X52X7,1,96.25,96.25
LSS0000005,27/02/2026,LS03,VANGUARD HEX BOLT 1/4IN X 1IN,5,97.21,486.06
LSS0000006,06/07/2025,LS04,MERIDIAN DIN CONTACTOR ROLLER LEVER,2,46.73,93.47
LSS0000007,06/11/2025,LS04,ATLAS O-RING KIT 45X65X10,3,112.64,337.93
LSS0000008,22/09/2025,LS03,LAKESIDE BUNGEE SET 24PC,1,44.14,44.14
LSS0000009,07/07/2025,LS03,TITAN VENTED SAFETY HELMET CLASS G BLUE,5,26.39,131.95
LSS0000010,29/10/2025,LS04,VANGUARD HYDRAULIC ROD SEAL 45X65X10,2,172.39,344.77
LSS0000011,11/06/2025,LS03,MERIDIAN HEAVY-DUTY CARTON 18X18X16IN,2,184.45,368.91
LSS0000012,11/05/2026,LS01,STERLING SHRINK FILM 2MIL 10FT,1,109.56,109.56
LSS0000013,23/11/2025,LS03,VANGUARD HYDRAULIC ROD SEAL 45X65X10,1,169.97,169.97
LSS0000014,30/12/2025,LS01,MERIDIAN CUT-RESISTANT GLOVES PAIR (XL),5,160.4,802.0
LSS0000015,17/12/2025,LS04,LAKESIDE EXTENSION CORD 25FT,1,21.21,21.21
LSS0000016,27/03/2026,LS03,STERLING HEX CAP SCREW M6 X 30MM,2,50.63,101.26
LSS0000017,15/07/2025,LS02,TITAN TOGGLE SWITCH 25A 3-POLE,2,41.39,82.79
LSS0000018,15/09/2025,LS03,LAKESIDE WINTER SALT PELLETS 50LB,5,38.48,192.39
LSS0000019,13/10/2025,LS03,TITAN TOGGLE SWITCH 25A 3-POLE,1,41.12,41.12
LSS0000020,23/02/2026,LS01,VANGUARD HEX BOLT 1/4IN X 1IN,1,100.0,100.0
LSS0000021,16/11/2025,LS02,LAKESIDE BUNGEE SET 24PC,4,44.25,177.02
LSS0000022,19/01/2026,LS02,MERIDIAN STRINGER PALLET BLOCK 48X48IN,1,159.28,159.28
LSS0000023,15/04/2026,LS02,ATLAS O-RING KIT 45X65X10,1,110.35,110.35
LSS0000024,09/07/2025,LS04,STERLING SOCKET CAP SCREW M4 X 20MM,4,209.34,837.36
LSS0000025,26/08/2025,LS01,LAKESIDE MOVING BLANKET,5,38.49,192.45
LSS0000026,18/01/2026,LS02,MERIDIAN DIN CONTACTOR ROLLER LEVER,1,45.39,45.39
LSS0000027,25/09/2025,LS03,VANGUARD BRASS BALL VALVE 1IN,3,172.07,516.21
LSS0000028,28/09/2025,LS02,MERIDIAN CUT-RESISTANT GLOVES PAIR (XL),2,161.04,322.07
