COUNT_DATE,STORE_CODE,LSP_CODE,QTY_ON_HAND
01/06/2025,LS01,LSP-0001,35
01/06/2025,LS01,LSP-0002,38
01/06/2025,LS01,LSP-0003,107
01/06/2025,LS01,LSP-0004,78
01/06/2025,LS01,LSP-0005,67
01/06/2025,LS01,LSP-0006,61
01/06/2025,LS01,LSP-0007,55
01/06/2025,LS01,LSP-0008,126
01/06/2025,LS01,LSP-0009,121
01/06/2025,LS01,LSP-0010,47
01/06/2025,LS01,LSP-0011,48
01/06/2025,LS01,LSP-0012,67
01/06/2025,LS01,LSP-0013,112
01/06/2025,LS01,LSP-0014,2
01/06/2025,LS01,LSP-0015,3
01/06/2025,LS01,LSP-0016,15
01/06/2025,LS01,LSP-0017,38
01/06/2025,LS01,LSP-0018,108
01/06/2025,LS01,LSP-0019,19
01/06/2025,LS01,LSP-0020,99
01/06/2025,LS01,LSP-0021,15
01/06/2025,LS01,LSP-0022,62
01/06/2025,LS01,LSP-0023,19
01/06/2025,LS01,LSP-0024,104
01/06/2025,LS01,LSP-0025,104
01/06/2025,LS01,LSP-0026,88
01/06/2025,LS01,LSP-0027,34
01/06/2025,LS01,LSP-0028,14
01/06/2025,LS01,LSP-0029,34
01/06/2025,LS01,LSP-0030,5
01/06/2025,LS01,LSP-0031,88
01/06/2025,LS01,LSP-0032,50
01/06/2025,LS01,LSP-0033,50
01/06/2025,LS01,LSP-0034,53
01/06/2025,LS01,LSP-0035,61
01/06/2025,LS01,LSP-0036,76
01/06/2025,LS01,LSP-0037,31
01/06/2025,LS01,LSP-0038,102
01/06/2025,LS01,LSP-0039,62
01/06/2025,LS01,LSP-0040,97
01/06/2025,LS01,LSP-0041,58
01/06/2025,LS01,LSP-0042,12
01/06/2025,LS01,LSP-0043,84
01/06/2025,LS01,LSP-0044,38
01/06/2025,LS01,LSP-0045,84
01/06/2025,LS01,LSP-0046,62
01/06/2025,LS01,LSP-0047,52
01/06/2025,LS01,LSP-0048,87
01/06/2025,LS01,LSP-0049,55
01/06/2025,LS01,LSP-0050,117
01/06/2025,LS01,LSP-0051,124
01/06/2025,LS01,LSP-0052,79
01/06/2025,LS01,LSP-0053,111
01/06/2025,LS01,LSP-0054,29
01/06/2025,LS01,LSP-0055,121
01/06/2025,LS01,LSP-0056,111
01/06/2025,LS01,LSP-0057,62
01/06/2025,LS01,LSP-0058,5
01/06/2025,LS01,LSP-0059,26
01/06/2025,LS01,LSP-0060,67
01/06/2025,LS02,LSP-0001,46
01/06/2025,LS02,LSP-0002,94
01/06/2025,LS02,LSP-0003,81
01/06/2025,LS02,LSP-0004,15
01/06/2025,LS02,LSP-0005,72
01/06/2025,LS02,LSP-0006,43
01/06/2025,LS02,LSP-0007,105
01/06/2025,LS02,LSP-0008,72
01/06/2025,LS02,LSP-0009,80
01/06/2025,LS02,LSP-0010,58
01/06/2025,LS02,LSP-0011,69
01/06/2025,LS02,LSP-0012,84
01/06/2025,LS02,LSP-0013,94
01/06/2025,LS02,LSP-0014,60
01/06/2025,LS02,LSP-0015,22
01/06/2025,LS02,LSP-0016,17
01/06/2025,LS02,LSP-0017,112
01/06/2025,LS02,LSP-0018,74
01/06/2025,LS02,LSP-0019,58
01/06/2025,LS02,LSP-0020,48
01/06/2025,LS02,LSP-0021,64
01/06/2025,LS02,LSP-0022,80
01/06/2025,LS02,LSP-0023,126
01/06/2025,LS02,LSP-0024,60
01/06/2025,LS02,LSP-0025,74
01/06/2025,LS02,LSP-0026,49
01/06/2025,LS02,LSP-0027,102
01/06/2025,LS02,LSP-0028,118
01/06/2025,LS02,LSP-0029,16
01/06/2025,LS02,LSP-0030,79
01/06/2025,LS02,LSP-0031,115
01/06/2025,LS02,LSP-0032,126
01/06/2025,LS02,LSP-0033,3
01/06/2025,LS02,LSP-0034,86
01/06/2025,LS02,LSP-0035,91
01/06/2025,LS02,LSP-0036,112
01/06/2025,LS02,LSP-0037,106
01/06/2025,LS02,LSP-0038,119
01/06/2025,LS02,LSP-0039,77
01/06/2025,LS02,LSP-0040,51
01/06/2025,LS02,LSP-0041,64
01/06/2025,LS02,LSP-0042,69
01/06/2025,LS02,LSP-0043,80
01/06/2025,LS02,LSP-0044,46
01/06/2025,LS02,LSP-0045,70
01/06/2025,LS02,LSP-0046,35
01/06/2025,LS02,LSP-0047,36
01/06/2025,LS02,LSP-0048,19
01/06/2025,LS02,LSP-0049,40
01/06/2025,LS02,LSP-0050,95
01/06/2025,LS02,LSP-0051,88
01/06/2025,LS02,LSP-0052,92
01/06/2025,LS02,LSP-0053,83
01/06/2025,LS02,LSP-0054,88
01/06/2025,LS02,LSP-0055,48
01/06/2025,LS02,LSP-0056,57
01/06/2025,LS02,LSP-0057,20
01/06/2025,LS02,LSP-0058,117
01/06/2025,LS02,LSP-0059,117
01/06/2025,LS02,LSP-0060,59
01/06/2025,LS03,LSP-0001,27
01/06/2025,LS03,LSP-0002,120
01/06/2025,LS03,LSP-0003,104
01/06/2025,LS03,LSP-0004,111
01/06/2025,LS03,LSP-0005,97
01/06/2025,LS03,LSP-0006,64
01/06/2025,LS03,LSP-0007,99
