UsageID,WorkOrderID,ItemCode,QtyUsed,UsageDate
PU-200001,WO-102616,ITM-0014,2,2026-03-13
PU-200002,WO-104837,ITM-0052,2,2026-05-05
PU-200003,WO-100478,ITM-0099,1,2026-04-17
PU-200004,WO-102083,ITM-0100,4,2025-09-12
PU-200005,WO-103344,ITM-0013,4,2025-06-24
PU-200006,WO-104265,ITM-0081,3,2025-12-15
PU-200007,WO-102233,ITM-0015,2,2025-10-03
PU-200008,WO-103524,ITM-0059,4,2025-09-23
PU-200009,WO-103962,ITM-0018,4,2025-07-14
PU-200010,WO-101819,ITM-0043,1,2025-12-17
PU-200011,WO-105636,ITM-0021,2,2025-06-20
PU-200012,WO-105291,ITM-0081,2,2025-06-06
PU-200013,WO-105871,ITM-0035,2,2026-04-25
PU-200014,WO-105441,ITM-0085,2,2025-07-31
PU-200015,WO-101518,ITM-0088,3,2026-04-14
PU-200016,WO-102154,ITM-0056,3,2026-01-27
PU-200017,WO-104458,ITM-0066,2,2026-01-18
PU-200018,WO-105978,ITM-0088,2,2026-01-10
PU-200019,WO-102180,ITM-0088,3,2026-02-02
PU-200020,WO-105622,ITM-0076,4,2026-03-12
PU-200021,WO-100366,ITM-0098,2,2026-02-21
PU-200022,WO-101496,ITM-0062,3,2026-04-11
PU-200023,WO-105964,ITM-0035,2,2026-02-01
PU-200024,WO-103473,ITM-0033,4,2025-10-15
PU-200025,WO-105128,ITM-0094,3,2026-05-08
PU-200026,WO-103600,ITM-0076,1,2025-12-21
PU-200027,WO-101260,ITM-0065,3,2025-09-20
PU-200028,WO-101815,ITM-0076,2,2025-08-28
PU-200029,WO-100695,ITM-0067,3,2025-09-11
PU-200030,WO-105215,ITM-0087,2,2026-01-01
PU-200031,WO-102214,ITM-0015,1,2025-06-23
PU-200032,WO-104782,ITM-0013,3,2025-11-17
PU-200033,WO-102160,ITM-0007,4,2026-03-23
PU-200034,WO-101991,ITM-0013,1,2026-05-17
