ticketId,createdAt,closedAt,productRef,categoryId,priority,status,channel
HD-00001,2026-04-23T13:51:29,2026-05-01T22:51:29,Sterling Wedge Anchor M10,4,normal,closed,web
HD-00002,2026-05-05T17:03:22,,Titan Solenoid Valve1 in,1,normal,open,phone
HD-00003,2026-03-30T17:50:10,2026-04-02T02:50:10,Vanguard Brass Ball Valve 3000 psi,5,high,closed,phone
HD-00004,2026-03-23T11:26:43,2026-03-27T12:26:43,Sterling Leather Work Gloves Box 100 (XL),2,normal,closed,phone
HD-00005,2026-04-29T11:17:04,2026-05-06T05:17:04,Titan Rocker Switch 20A,1,high,closed,web
HD-00006,2026-05-25T10:43:35,2026-05-27T10:43:35,Meridian Full Brim Hard Hat lCass G Blue,6,high,closed,email
HD-00007,2025-12-06T18:57:30,2025-12-14T15:57:30,Sterling Sleeve Anchor M12,1,normal,closed,email
HD-00008,2026-03-11T17:01:49,2026-03-16T23:01:49,Titan Stretch Wrap 18in 1500ft,6,normal,closed,email
HD-00009,2026-02-19T12:04:04,2026-02-26T01:04:04,Titan Solenoid Valve 1in,4,urgent,closed,email
HD-00010,2026-05-17T12:53:40,2026-05-19T19:53:40,Titan Solenoid Valve 1in,2,high,closed,phone
HD-00011,2026-02-20T17:28:13,,Titan Solenoid Valve 1in,1,normal,open,web
HD-00012,2025-07-09T08:59:18,,Titan Carriage Bolt 1/4in x 1in,2,low,open,web
HD-00013,2026-05-01T13:23:35,,Titan Solenoid Valve 1in,5,normal,open,web
HD-00014,2025-06-18T09:27:39,2025-06-18T19:27:39,Sterling Nestable Pallet 1200x800mm,1,high,closed,phone
HD-00015,2026-04-21T14:45:03,2026-04-25T06:45:03,Sterling Wood Screw M4 x 20mm,2,normal,closed,email
HD-00016,2026-03-17T12:05:22,,Titan Rocker Switch 20A,1,normal,open,web
HD-00017,2026-04-15T14:24:47,2026-04-21T21:24:47,Atlas Flange Bolt M6 x 30mm,4,high,closed,web
HD-00018,2026-05-12T18:47:31,,Titan Rocker Switch 20A,1,high,open,email
HD-00019,2026-03-28T18:07:59,2026-04-06T13:07:59,Titan Solenoid Valve 1in,3,normal,closed,web
HD-00020,2026-04-22T13:09:17,,Titan Solenoid Valve 1in,1,normal,open,email
HD-00021,2025-11-07T11:38:38,2025-11-16T20:38:38,Meridian Heavy-Duty Carton 18x18x16in,4,normal,closed,web
HD-00022,2026-01-24T17:43:35,2026-02-03T10:43:35,Vanguard Hex Bolt M12 x 80mm,4,normal,closed,phone
HD-00023,2025-07-17T08:14:10,2025-07-23T21:14:10,Vanguard Vented Safety Helmet Ratchet,4,normal,closed,phone
HD-00024,2026-04-13T15:15:40,2026-04-18T11:15:40,Atlas IEC Power Connector 4-pos,2,low,closed,email
HD-00025,2026-02-21T18:56:06,2026-02-23T17:56:06,Titan Rocker Switch 20A,3,low,closed,web
HD-00026,2025-08-20T14:44:15,2025-08-28T12:44:15,Meridian Stringer Pallet Block 48x48in,6,low,closed,phone
HD-00027,2026-03-24T12:07:16,2026-03-26T16:07:16,Meridian Full Brim Hard Hat Class G Blue,1,low,closed,web
HD-00028,2026-02-21T10:57:34,2026-02-21T22:57:34,Titan Rocker Switch 20A,1,normal,closed,web
HD-00029,2025-08-16T16:37:12,2025-08-24T00:37:12,Atlas IEC Power Connecto r4-pos,6,normal,closed,web
HD-00030,2025-11-19T08:29:38,2025-11-26T20:29:38,Sterling Gate Valve 3/4in,4,normal,closed,email
HD-00031,2026-04-27T10:19:52,2026-05-04T23:19:52,Titan Rocker Switch 20A,1,normal,closed,web
HD-00032,2026-04-23T16:00:59,,Titan Solenoid Valve 1in,3,high,open,email
HD-00033,2026-03-24T08:26:25,2026-03-24T20:26:25,Atlas Gasket Set PTFE 25pc,3,normal,closed,phone
HD-00034,2026-03-22T16:29:47,2026-03-30T15:29:47,Atlas O-Ring Kit 45x65x10,2,high,closed,web
HD-00035,2026-03-13T18:32:18,2026-03-20T02:32:18,Titan Rocker Switch 20A,1,high,closed,phone
HD-00036,2026-03-07T14:17:23,,Tian Solenoid Valve 1in,2,normal,open,email
HD-00037,2026-05-01T12:19:35,2026-05-01T14:19:35,Titan Solenoid Valve 1in,4,normal,closed,phone
HD-00038,2026-01-11T14:20:58,2026-01-15T09:20:58,Meridian Full Brim Hard Hat Class G Blue,1,normal,closed,email
HD-00039,2026-05-10T08:39:55,2026-05-16T19:39:55,Meridian O-Ring Kit FKM Viton,2,normal,closed,web
HD-00040,2025-09-13T14:02:07,2025-09-15T20:02:07,Sterling Leather Work Gloves Box 100 (XL),2,low,closed,web
HD-00041,2025-08-07T17:49:49,2025-08-09T10:49:49,Atlas Shaft eSal 35x52x7,2,urgent,closed,web
HD-00042,2025-10-17T11:00:31,2025-10-24T04:00:31,Vanguard Machine Screw #10 x 1-1/2in,5,low,closed,phone
HD-00043,2025-09-08T08:27:00,2025-09-14T06:27:00,Vanguard IEC Power Connector 8-pin,1,low,closed,email
HD-00044,2026-03-04T16:20:21,2026-03-14T12:20:21,Titan Solenoid Valve 1in,1,urgent,closed,email
HD-00045,2025-10-06T14:23:17,2025-10-15T02:23:17,Serling Stretch Wrap 20in 5000ft,4,normal,closed,web
HD-00046,2025-06-27T11:35:56,2025-07-01T04:35:56,Vanguard Vented Safety Helmet Ratchet,1,low,closed,email
HD-00047,2025-10-26T15:07:36,2025-11-02T11:07:36,Titan Stretch Wrap 18in 1500ft,1,normal,closed,phone
HD-00048,2025-06-05T15:40:48,2025-06-13T17:40:48,Atlas Drop-In Anchor M8,6,urgent,closed,email
HD-00049,2025-07-27T15:35:01,2025-07-29T13:35:01,Vanguard Self-Tapping Screw #8 x 1in,2,normal,closed,web
HD-00050,2026-02-23T14:32:05,2026-02-25T16:32:05,TitanRocker Switch 20A,1,normal,closed,email
HD-00051,2026-04-18T11:12:27,2026-04-18T15:12:27,Titan Stretch Wrap 18in 1500ft,2,normal,closed,web
HD-00052,2025-07-20T10:53:30,2025-07-24T06:53:30,Atlas IEC Power Connetcor 4-pos,2,low,closed,phone
HD-00053,2026-02-27T12:18:14,2026-02-28T12:18:14,Titan Solenoid Valve 1in,4,normal,closed,web
HD-00054,2026-03-27T12:44:18,,Titan Solenoid Valve 1in,3,normal,open,email
HD-00055,2026-03-19T09:00:13,2026-03-24T10:00:13,Vanguard Self-Tapping Screw #8 x 1in,6,normal,closed,web
HD-00056,2026-04-22T16:11:20,2026-05-01T07:11:20,Atlas Stringer Pallet 1100x1100mm,1,low,closed,web
HD-00057,2026-05-09T08:03:04,2026-05-16T17:03:04,Titan Leather Work Gloves Pair (L),4,normal,closed,phone
HD-00058,2025-09-15T15:48:22,2025-09-18T09:48:22,Sterling Safety Glasses Wraparound,5,normal,closed,web
HD-00059,2026-02-03T15:36:33,2026-02-05T06:36:33,Atls O-Ring Kit 35x52x7,5,low,closed,phone
HD-00060,2026-01-14T16:08:05,2026-01-21T02:08:05,Atlas Stretch Wrap 24in Roll,5,low,closed,web
HD-00061,2026-05-27T10:50:02,2026-06-05T15:50:02,Titan Rocker Switch 20A,3,normal,closed,email
HD-00062,2025-06-11T13:40:04,2025-06-11T22:40:04,Titan Rocker Switch 30A 2-pole,2,low,closed,email
