mmOrderId,orderDate,listingId,qty,grossAmount,buyerState
MM-7000001,2025-09-25,ML-200042,4,425.66,FL
MM-7000002,2026-04-09,ML-200088,4,696.62,WA
MM-7000003,2026-03-16,ML-200031,1,31.42,FL
MM-7000004,2025-11-25,ML-200012,2,278.18,IL
MM-7000005,2025-08-28,ML-200076,2,156.33,PA
MM-7000006,2025-08-24,ML-200011,1,193.57,TX
MM-7000007,2026-01-09,ML-200059,1,183.26,NJ
MM-7000008,2026-04-30,ML-200046,1,35.27,NY
MM-7000009,2025-08-11,ML-200087,4,39.23,GA
MM-7000010,2025-10-28,ML-200043,1,62.55,WA
MM-7000011,2025-07-04,ML-200002,4,607.16,GA
MM-7000012,2026-03-05,ML-200006,3,46.88,FL
MM-7000013,2025-08-17,ML-200015,1,255.53,NJ
MM-7000014,2026-05-03,ML-200024,1,26.57,TX
MM-7000015,2026-02-05,ML-200015,1,251.53,PA
MM-7000016,2025-11-18,ML-200042,4,427.81,PA
MM-7000017,2025-11-20,ML-200064,3,603.72,TX
MM-7000018,2025-07-20,ML-200065,3,540.99,PA
MM-7000019,2026-05-05,ML-200092,2,577.55,WA
MM-7000020,2025-06-02,ML-200087,1,10.06,GA
MM-7000021,2025-10-19,ML-200014,4,367.19,WA
MM-7000022,2025-12-21,ML-200036,2,72.25,IL
MM-7000023,2025-08-14,ML-200031,2,61.81,OH
MM-7000024,2026-03-25,ML-200100,2,118.8,TX
MM-7000025,2026-02-16,ML-200059,4,733.33,IL
MM-7000026,2025-07-16,ML-200031,3,93.7,FL
MM-7000027,2025-11-27,ML-200019,1,116.77,TX
MM-7000028,2025-11-01,ML-200022,4,464.12,NJ
MM-7000029,2026-02-08,ML-200048,2,346.25,WA
MM-7000030,2026-04-14,ML-200035,2,282.52,OH
MM-7000031,2025-11-16,ML-200065,2,360.41,GA
MM-7000032,2025-06-05,ML-200094,1,29.46,WA
MM-7000033,2025-06-15,ML-200076,2,154.59,GA
MM-7000034,2025-12-16,ML-200038,1,111.35,FL
MM-7000035,2025-12-15,ML-200077,1,75.9,NJ
MM-7000036,2026-03-21,ML-200003,3,400.32,NY
MM-7000037,2025-08-06,ML-200052,1,24.17,NY
MM-7000038,2026-03-26,ML-200091,1,593.74,WA
MM-7000039,2025-06-08,ML-200042,3,314.88,IL
MM-7000040,2025-09-17,ML-200054,2,43.64,PA
MM-7000041,2026-04-08,ML-200072,2,162.77,GA
MM-7000042,2025-11-22,ML-200065,1,181.18,IL
MM-7000043,2026-04-20,ML-200091,3,1803.75,OH
MM-7000044,2026-04-26,ML-200033,2,714.47,WA
MM-7000045,2025-07-05,ML-200089,1,104.45,NY
MM-7000046,2025-06-08,ML-200087,2,20.63,FL
MM-7000047,2025-11-07,ML-200039,4,166.75,NY
MM-7000048,2025-08-02,ML-200015,2,510.41,FL
MM-7000049,2025-09-02,ML-200029,4,80.62,IL
MM-7000050,2025-08-02,ML-200068,2,31.08,WA
MM-7000051,2026-05-22,ML-200015,4,1008.91,FL
MM-7000052,2026-02-03,ML-200054,2,44.26,FL
MM-7000053,2025-12-07,ML-200023,4,612.91,PA
MM-7000054,2026-04-12,ML-200041,1,187.43,NJ
MM-7000055,2025-10-25,ML-200079,3,142.27,IL
MM-7000056,2025-12-26,ML-200051,3,1050.87,GA
MM-7000057,2025-11-23,ML-200062,3,211.97,OH
MM-7000058,2025-09-17,ML-200023,1,153.88,PA
MM-7000059,2025-12-10,ML-200021,2,603.63,TX
MM-7000060,2026-04-10,ML-200022,4,450.65,PA
MM-7000061,2025-09-24,ML-200025,4,695.74,OH
MM-7000062,2025-07-29,ML-200038,1,108.87,TX
MM-7000063,2026-01-03,ML-200071,4,420.59,NJ
MM-7000064,2025-08-21,ML-200009,3,412.77,OH
MM-7000065,2026-03-21,ML-200041,4,773.51,NJ
MM-7000066,2025-06-19,ML-200037,1,281.18,OH
MM-7000067,2025-10-01,ML-200005,4,284.32,CA
MM-7000068,2025-12-03,ML-200091,4,2484.61,FL
MM-7000069,2025-07-26,ML-200025,2,351.91,TX
MM-7000070,2025-08-31,ML-200088,3,519.64,CA
MM-7000071,2025-09-27,ML-200001,4,1265.42,NJ
MM-7000072,2026-05-12,ML-200076,2,154.66,WA
MM-7000073,2026-03-14,ML-200044,4,942.57,FL
MM-7000074,2026-02-13,ML-200087,3,29.59,CA
MM-7000075,2025-10-15,ML-200049,3,997.35,TX
MM-7000076,2025-11-16,ML-200010,1,133.56,NY
MM-7000077,2025-09-11,ML-200012,1,137.18,OH
MM-7000078,2025-11-22,ML-200069,2,224.16,OH
MM-7000079,2025-12-23,ML-200030,1,109.74,GA
MM-7000080,2026-04-07,ML-200052,3,74.5,GA
MM-7000081,2025-09-26,ML-200034,4,157.64,NY
MM-7000082,2026-03-27,ML-200073,4,700.71,NY
MM-7000083,2026-04-13,ML-200005,3,218.29,CA
MM-7000084,2025-06-16,ML-200061,3,538.89,CA
MM-7000085,2025-06-25,ML-200052,3,73.78,FL
MM-7000086,2026-01-06,ML-200036,1,34.92,TX
MM-7000087,2025-12-29,ML-200037,3,828.55,NY
MM-7000088,2025-08-20,ML-200013,3,237.42,PA
MM-7000089,2025-06-10,ML-200013,4,317.98,IL
MM-7000090,2025-08-23,ML-200064,2,388.64,WA
MM-7000091,2025-07-26,ML-200020,4,304.5,IL
MM-7000092,2025-11-09,ML-200056,1,226.87,OH
MM-7000093,2025-12-03,ML-200075,1,144.6,WA
MM-7000094,2026-05-15,ML-200005,2,145.37,OH
MM-7000095,2025-08-16,ML-200010,4,533.75,NY
MM-7000096,2025-07-16,ML-200029,2,38.88,WA
MM-7000097,2026-05-22,ML-200081,1,174.66,TX
MM-7000098,2025-06-19,ML-200011,1,189.86,NJ
MM-7000099,2026-03-07,ML-200070,3,482.59,OH
MM-7000100,2025-06-11,ML-200066,4,475.63,FL
MM-7000101,2025-09-09,ML-200099,1,34.34,GA
MM-7000102,2026-02-13,ML-200031,1,30.88,GA
MM-7000103,2026-01-26,ML-200005,4,292.49,PA
MM-7000104,2025-06-30,ML-200060,4,844.61,NY
MM-7000105,2025-07-23,ML-200027,1,178.33,NJ
MM-7000106,2025-08-20,ML-200042,1,105.56,FL
MM-7000107,2025-08-30,ML-200082,4,293.1,OH
MM-7000108,2025-06-29,ML-200057,2,427.49,NJ
MM-7000109,2025-11-29,ML-200002,4,601.26,NJ
MM-7000110,2025-09-25,ML-200039,3,124.35,CA
MM-7000111,2025-08-07,ML-200006,2,32.92,NY
MM-7000112,2026-05-13,ML-200034,3,116.32,GA
MM-7000113,2026-04-21,ML-200037,3,830.77,NY
MM-7000114,2025-09-09,ML-200046,2,70.43,NJ
MM-7000115,2025-10-16,ML-200090,4,196.07,NJ
MM-7000116,2025-11-12,ML-200076,1,77.93,GA
MM-7000117,2025-07-26,ML-200010,2,266.2,NJ
MM-7000118,2026-02-04,ML-200086,4,198.43,TX
MM-7000119,2025-09-29,ML-200048,3,509.08,WA
MM-7000120,2026-01-16,ML-200055,4,241.9,CA
MM-7000121,2025-11-12,ML-200065,1,177.12,WA
MM-7000122,2025-11-23,ML-200053,3,772.35,OH
