SupplierKey,SupplierId,SupplierName,SupplierCountry,LeadTimeMeanDays,LeadTimeStdDays,ReliabilityScore
1,SUP-001,Apex Components,USA,18,3,0.859
2,SUP-002,Borealis Mfg,Germany,29,2,0.914
3,SUP-003,Crestline Parts,Germany,23,1,0.831
4,SUP-004,Delta Foundry,Canada,24,5,0.961
5,SUP-005,Evergreen Supply,Canada,22,4,0.927
6,SUP-006,Fjord Industrial,China,24,4,0.949
7,SUP-007,Granite Trading,USA,17,3,0.88
8,SUP-008,Helix Materials,Germany,8,5,0.985
9,SUP-009,Ironwood Goods,Mexico,25,3,0.972
10,SUP-010,Juniper Logistics,USA,16,3,0.952
